Image,Target Image,Similarity
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (214).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,30.798259377479553
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (215).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,43.08763146400452
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (216).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,29.681888222694397
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (217).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,47.74883687496185
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (218).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,38.78646492958069
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (219).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,33.15868079662323
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (22).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,40.184783935546875
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (220).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,38.611963391304016
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (221).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,53.958237171173096
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (222).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,32.64643847942352
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (223).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,38.048213720321655
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (224).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.69244074821472
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (225).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,64.13254141807556
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (226).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,30.32689392566681
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (227).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,55.789804458618164
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (228).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,19.776055216789246
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (229).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,48.49409461021423
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (23).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,55.7390034198761
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (230).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,35.3112518787384
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (231).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,39.971521496772766
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (232).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,54.99674081802368
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (233).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,51.9627571105957
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (234).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.987775802612305
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (235).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,55.21569848060608
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (236).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,46.528518199920654
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (237).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,69.06371712684631
